;molecule_chembl_id;units;IC50;smiles;pIC50;MW;HBA;HBD;LogP;rule_of_five_conform
0;CHEMBL2367667;nM;0.036000000000000004;C=CC[C@H]1C(=O)N(S(=O)(=O)c2ccc3ccccc3c2)[C@H]2CCN(C(=O)OCc3ccccc3)[C@@H]21;10.443697499232712;490.15624293199994;5;0;4.342700000000004;yes
1;CHEMBL3617973;nM;0.065;CC1=C(C#N)[C@@H](c2ccc(C#N)cc2S(C)(=O)=O)N(C)C(=O)N1c1cccc(C(F)(F)F)c1;10.187086643357144;474.097346064;5;0;4.391260000000004;yes
2;CHEMBL293138;nM;0.1;CC(SC(=O)c1cccs1)C(=O)NCC(=O)N1CSCC1C(=O)O;10.0;388.02213461199995;7;2;1.1123000000000003;yes
3;CHEMBL3617966;nM;0.21;CNC(=O)c1cc(-c2ccnn2-c2ccc(C#N)cc2)c(C)n(-c2cccc(C(F)(F)F)c2)c1=O;9.67778070526608;477.141259476;6;1;4.248700000000003;yes
5;CHEMBL4110495;nM;0.3;[C-]#[N+]C1=C(C)N(c2cccc(C(F)(F)F)c2)C(=O)N[C@@H]1c1ccc(C#N)cc1[S@+](C)[O-];9.522878745280336;444.08678138000005;3;1;4.736170000000003;yes
6;CHEMBL4107034;nM;0.45;[C-]#[N+]C1=C(C)N(c2cccc(C(F)(F)F)c2)C(=O)N(CC(N)=O)[C@@H]1c1ccc(C#N)cc1S(C)(=O)=O;9.346787486224656;517.103159716;5;1;3.5999700000000017;yes
7;CHEMBL4107106;nM;0.5;[C-]#[N+]C1=C(C)N(c2cccc(C(F)(F)F)c2)C(=O)N[C@@H]1c1ccc(C#N)cc1S(C)(=O)=O;9.30102999566398;460.081696;4;1;4.402270000000003;yes
8;CHEMBL3617965;nM;0.5;Cc1c([S+]([O-])c2ccc(C#N)cc2)cc(C(=O)NCCCN2CCCC2=O)c(=O)n1-c1cccc(C(F)(F)F)c1;9.30102999566398;570.15486094;6;1;3.945400000000003;yes
9;CHEMBL2367646;nM;0.69;C=CC[C@H]1C(=O)N(C(C)=O)[C@H]2CCN(C(=O)OCc3ccccc3)[C@@H]21;9.161150909262744;342.157957184;4;0;2.3471;yes
10;CHEMBL3617970;nM;0.9;CC1=C(C(=O)OCCOCC(=O)O)[C@@H](c2ccc(C#N)cc2)N(CC(=O)O)C(=O)N1c1cccc(C(F)(F)F)c1;9.045757490560677;561.135899324;7;2;3.563380000000002;yes
